ds,yhat,yhat_lower,yhat_upper,City
2015,598664.9983238216,553046.2984063659,638088.0632537159,Seattle
2016,626904.2672475766,585390.6502271199,666907.6207507525,Seattle
2017,223792.04981326923,182488.86961208636,266423.53123050457,Seattle
2018,223686.44812881213,182163.22684116705,266072.65116595355,Seattle
2019,237816.5770497284,199098.216272738,281317.453494917,Seattle
2020,266055.84599491704,224340.2132580355,306050.86721066,Seattle
2021,-137056.37142007594,-178471.52466135842,-99060.8029479936,Seattle
2022,-137161.97309800237,-177854.8341863663,-92689.8181091569,Seattle
2023,-123031.84416953434,-165547.12734796604,-83011.74503857887,Seattle
2024,-94792.57522522788,-134189.00166928137,-51307.00258300128,Seattle
2024,-52591.13251567942,-94516.36823658462,-13500.17539749614,Seattle
2025,3405.356565828697,-36713.56981309953,43691.56213220851,Seattle
2026,73009.84962509324,31195.10905969459,115079.66215849249,Seattle
2015,106316.35552980856,86223.02331021173,127278.00417192712,Vancouver
2016,103881.6974609101,84171.08810850886,123581.34910232895,Vancouver
2017,53570.59673967913,33021.75577840776,73541.43910102875,Vancouver
2018,49583.414445589246,29216.939229951127,69325.67381197489,Vancouver
2019,46379.66010921812,26526.76350047393,65675.06828411148,Vancouver
2020,43945.00203826041,23170.63779700384,62889.10962735313,Vancouver
2021,-6366.09868352555,-26216.945575816226,13097.502596609458,Vancouver
2022,-10353.280979279149,-30500.02625861513,7455.9088536512545,Vancouver
2023,-13557.035316407297,-32805.714576526414,5651.168586988977,Vancouver
2024,-15991.693388029902,-37016.95009710704,1511.7240917441095,Vancouver
2024,-17672.69756438546,-38604.94171764142,1932.9383392076888,Vancouver
2025,-18616.5784476074,-37722.16123335465,483.8603575359362,Vancouver
2026,-18840.93071865692,-38837.42788804216,614.0363515169777,Vancouver
2015,188.1461604427693,36.15791805567522,336.00063333289097,San
2016,128.0039116406766,-20.25492959105289,268.2201560091354,San
2017,198.33656352378796,55.3807511501397,354.3603676498831,San
2018,137.76079167102012,-14.681213787240091,281.5211882825183,San
2019,77.38175752716076,-78.6459257073313,226.41731953783776,San
2020,17.2395087005964,-136.81490615998362,151.60355473458304,San
2021,87.57216053745329,-54.69433728900768,231.85583485580707,San
2022,26.996388710150367,-128.52864065427755,181.1836211943874,San
2023,-33.38264536322988,-181.88591755114183,109.33203220948592,San
2024,-93.52489413925947,-244.7836989554693,48.3141730850184,San
2024,-153.39065212006608,-293.23417474609727,0.3451070381753264,San
2025,-212.9406133511412,-358.05073933766465,-66.56575290716816,San
2026,-272.13592829204345,-422.8180903256897,-134.44745552343173,San
